dataset	total_counts	sample	timepoint
a673_0h	8162833.0	a673	0h
a673_2h	27742718.0	a673	2h
a673_6h	43964756.0	a673	6h
caco2_0h	11196182.0	caco2	0h
caco2_2h	29445264.0	caco2	2h
caco2_6h	49817950.0	caco2	6h
calu3_0h	9886714.0	calu3	0h
calu3_2h	26728290.0	calu3	2h
calu3_6h	38976536.0	calu3	6h
gm12878_0h	12688175.0	gm12878	0h
gm12878_2h	25700684.0	gm12878	2h
gm12878_6h	30680508.0	gm12878	6h
hct116_0h	11407655.0	hct116	0h
hct116_2h	33321556.0	hct116	2h
hct116_6h	54511816.0	hct116	6h
hepg2_0h	12320913.0	hepg2	0h
hepg2_2h	34518430.0	hepg2	2h
hepg2_6h	51027630.0	hepg2	6h
hmec_0h	14767576.0	hmec	0h
hmec_2h	26384208.0	hmec	2h
hmec_6h	51313556.0	hmec	6h
huvec_0h	8736658.0	huvec	0h
huvec_2h	29946816.0	huvec	2h
huvec_6h	48163384.0	huvec	6h
imr90_0h	9615496.0	imr90	0h
imr90_2h	19906416.0	imr90	2h
imr90_6h	27496216.0	imr90	6h
k562_0h	15750054.0	k562	0h
k562_2h	20441756.0	k562	2h
k562_6h	35749824.0	k562	6h
