	intron_chain	biotype_category	n_genes
0	1	lncRNA	6325
2	1	pseudogene	2935
1	1	protein_coding	2046
4	2	protein_coding	1715
7	3	protein_coding	1702
10	4	protein_coding	1551
13	5	protein_coding	1518
3	2	lncRNA	1499
16	6	protein_coding	1329
19	7	protein_coding	1196
22	8	protein_coding	1040
25	9	protein_coding	989
28	10	protein_coding	786
31	11	protein_coding	708
6	3	lncRNA	686
34	12	protein_coding	631
37	13	protein_coding	480
40	14	protein_coding	420
43	15	protein_coding	359
9	4	lncRNA	345
46	16	protein_coding	334
5	2	pseudogene	293
48	17	protein_coding	259
12	5	lncRNA	220
51	18	protein_coding	207
53	19	protein_coding	198
58	21	protein_coding	162
56	20	protein_coding	157
8	3	pseudogene	147
15	6	lncRNA	127
60	22	protein_coding	111
11	4	pseudogene	108
62	23	protein_coding	97
18	7	lncRNA	93
64	24	protein_coding	90
14	5	pseudogene	68
66	25	protein_coding	64
17	6	pseudogene	55
21	8	lncRNA	54
69	26	protein_coding	51
71	27	protein_coding	50
24	9	lncRNA	48
73	28	protein_coding	46
27	10	lncRNA	43
75	29	protein_coding	38
20	7	pseudogene	37
78	30	protein_coding	34
30	11	lncRNA	32
80	31	protein_coding	22
83	33	protein_coding	21
23	8	pseudogene	21
36	13	lncRNA	20
82	32	protein_coding	19
84	34	protein_coding	18
33	12	lncRNA	18
50	18	lncRNA	13
86	35	protein_coding	13
92	38	protein_coding	13
47	17	lncRNA	12
26	9	pseudogene	11
42	15	lncRNA	11
39	14	lncRNA	11
45	16	lncRNA	10
55	20	lncRNA	9
35	12	pseudogene	9
88	36	protein_coding	8
90	37	protein_coding	8
38	13	pseudogene	8
52	19	lncRNA	8
61	23	lncRNA	7
29	10	pseudogene	7
44	15	pseudogene	7
94	39	protein_coding	6
95	40	protein_coding	6
107	47	protein_coding	6
63	24	lncRNA	6
98	42	protein_coding	6
118	56	protein_coding	6
57	21	lncRNA	6
97	41	protein_coding	5
101	44	protein_coding	5
116	54	protein_coding	5
65	25	lncRNA	5
59	22	lncRNA	4
119	57	protein_coding	4
103	45	protein_coding	4
131	69	protein_coding	3
41	14	pseudogene	3
114	52	protein_coding	3
109	49	protein_coding	3
108	48	protein_coding	3
49	17	pseudogene	3
79	31	lncRNA	3
105	46	protein_coding	3
117	55	lncRNA	3
87	36	lncRNA	3
70	27	lncRNA	3
68	26	lncRNA	3
77	30	lncRNA	3
89	37	lncRNA	3
111	50	protein_coding	2
74	29	lncRNA	2
132	71	lncRNA	2
124	63	protein_coding	2
91	38	lncRNA	2
113	51	protein_coding	2
133	71	protein_coding	2
128	67	protein_coding	2
54	19	pseudogene	2
32	11	pseudogene	2
99	43	protein_coding	2
130	68	protein_coding	2
104	46	lncRNA	2
134	73	lncRNA	1
138	82	protein_coding	1
137	78	protein_coding	1
136	76	protein_coding	1
135	75	protein_coding	1
148	113	lncRNA	1
139	83	lncRNA	1
140	85	protein_coding	1
141	90	lncRNA	1
143	93	protein_coding	1
144	95	protein_coding	1
145	98	protein_coding	1
150	169	lncRNA	1
146	102	lncRNA	1
149	141	lncRNA	1
147	106	lncRNA	1
142	90	protein_coding	1
76	29	pseudogene	1
129	68	lncRNA	1
106	47	lncRNA	1
67	25	pseudogene	1
72	28	lncRNA	1
81	32	lncRNA	1
85	35	lncRNA	1
93	39	lncRNA	1
96	41	lncRNA	1
100	44	lncRNA	1
102	45	lncRNA	1
110	50	lncRNA	1
127	66	protein_coding	1
112	51	lncRNA	1
115	53	protein_coding	1
120	58	protein_coding	1
121	60	protein_coding	1
122	61	protein_coding	1
123	62	protein_coding	1
125	64	protein_coding	1
126	65	protein_coding	1
151	192	protein_coding	1
