dataset	counts
a673_1_1	1330194
a673_1_2	1707207
adrenal_gland_1_1	765655
adrenal_gland_2_1	1579294
adrenal_gland_3_1	577077
aorta_1_1	1934703
aorta_2_1	945858
brodmann_area_46_1_1	562346
brodmann_area_46_2_1	1726437
brodmann_area_46_3_1	1002116
brodmann_area_46_4_1	2658856
brodmann_area_46_5_1	2538322
brodmann_area_46_6_1	2890438
brodmann_area_46_7_1	2066432
brodmann_area_46_8_1	2243462
brodmann_area_46_9_1	2772400
caco2_1_1	1668485
caco2_1_2	1396844
calu3_1_1	1684340
calu3_1_2	1665742
cardiac_septum_1_1	1463725
gm12878_1_1	715140
gm12878_1_2	605674
gm12878_1_3	537713
gm12878_1_4	656794
gm12878_2_1	2026295
gm12878_2_2	2428259
gm12878_3_1	1487483
h1_1_1	608009
h1_1_2	217660
h1_1_3	1148162
h1_de_1_1	1070530
h1_de_1_2	1366812
h1_de_1_3	1329159
h9_1_1	3190785
h9_1_2	2743994
h9_chondro_1_1	1552738
h9_chondro_1_2	887837
h9_chondro_1_3	1301572
h9_de_1_1	2459464
h9_de_1_2	2333663
h9_neural_crest_1_1	865088
h9_neural_crest_1_2	1137068
h9_osteocyte_1_1	2027523
h9_osteocyte_1_2	1600065
h9_panc_beta_1_1	1567044
h9_panc_beta_1_2	1614116
h9_panc_progen_1_1	1157404
h9_panc_progen_1_2	1610328
hct116_1_1	1386892
heart_left_ventricle_1_1	477204
heart_left_ventricle_2_1	2554594
heart_left_ventricle_3_1	1213979
heart_left_ventricle_4_1	983958
heart_right_ventricle_1_1	1594564
heart_right_ventricle_2_1	1269372
heart_right_ventricle_3_1	1041655
hepg2_1_1	2456623
hepg2_2_1	1090307
hepg2_2_2	633758
hffc6_1_1	1052582
hffc6_1_2	826024
hffc6_1_3	1039934
hl60_1_1	2772633
hl60_1_2	2365326
hl60_m0_1_1	1779350
hl60_m0_1_2	1805489
hl60_m1_12hr_1_1	1795828
hl60_m1_12hr_1_2	1550774
hl60_m1_24hr_1_1	837198
hl60_m1_24hr_1_2	1029961
hl60_m1_72hr_1_1	1980928
hl60_m1_72hr_1_2	1864041
hl60_m2_12hr_1_1	1276162
hl60_m2_12hr_1_2	1177117
hl60_m2_24hr_1_1	1076375
hl60_m2_24hr_1_2	1352572
hl60_m2_72hr_1_1	1814493
hl60_m2_72hr_1_2	2036266
hmec_1_1	2580425
hmec_1_2	2441884
huvec_1_1	2563091
huvec_1_2	2513718
imr90_1_1	1161276
k562_1_1	1909706
k562_2_1	1169035
k562_2_2	549651
k562_3_1	2526610
k562_3_2	2623089
kidney_1_1	847743
left_cardiac_atrium_1_1	737972
left_colon_1_1	1130537
left_lung_1_1	743976
left_lung_2_1	706257
left_ventricle_myocardium_inferior_1_1	1349573
left_ventricle_myocardium_superior_1_1	1373613
lower_lobe_of_left_lung_1_1	2483648
lower_lobe_of_left_lung_2_1	729018
lower_lobe_of_right_lung_1_1	1528088
mcf10a_1_1	1904358
mcf10a_1_2	1932460
mcf7_1_1	1639352
mesenteric_fat_pad_1_1	1794731
mucosa_of_descending_colon_1_1	673120
mucosa_of_descending_colon_2_1	1105691
ocily7_1_1	1670293
ocily7_1_2	1364816
ovary_1_1	2054310
ovary_2_1	1267793
ovary_3_1	376401
panc1_1_1	1583465
pc3_1_1	1905298
pc9_1_1	1771848
pc9_1_2	1651624
pgp1_1_1	730349
pgp1_1_2	790050
pgp1_astro_1_1	788494
pgp1_astro_1_2	455052
pgp1_endo_1_1	696271
pgp1_endo_1_2	601739
pgp1_excite_neuron_1_1	689480
pgp1_excite_neuron_1_2	631095
posterior_vena_cava_1_1	1299619
posterior_vena_cava_2_1	511706
psoas_muscle_1_1	1508710
psoas_muscle_2_1	731284
right_cardiac_atrium_1_1	727828
right_cardiac_atrium_2_1	751076
right_cardiac_atrium_3_1	2370290
right_cardiac_atrium_4_1	1492063
right_lobe_of_liver_1_1	613529
right_lobe_of_liver_2_1	507703
right_ventricle_myocardium_inferior_1_1	647734
right_ventricle_myocardium_superior_1_1	1560166
upper_lobe_of_right_lung_1_1	1445367
wtc11_1_1	2332639
wtc11_1_2	1358180
wtc11_1_3	2851975
