TPM,# of TSS,cCREs,total,percentage
0-1,7548,promoter,28960,0.2606353591160221
0-1,3923,proximal enhancer,28960,0.13546270718232045
0-1,8559,distal enhancer,28960,0.29554558011049725
0-1,1350,other cCREs,28960,0.04661602209944751
1-5,5308,promoter,10191,0.5208517319203219
1-5,1081,proximal enhancer,10191,0.10607398685114316
1-5,2009,distal enhancer,10191,0.1971347267196546
1-5,277,other cCREs,10191,0.027180845844372487
5-10,2450,promoter,3307,0.7408527366192924
5-10,246,proximal enhancer,3307,0.07438766253401875
5-10,339,distal enhancer,3307,0.1025098276383429
5-10,51,other cCREs,3307,0.015421832476564862
10-25,3608,promoter,4192,0.8606870229007634
10-25,193,proximal enhancer,4192,0.04604007633587786
10-25,211,distal enhancer,4192,0.05033396946564885
10-25,21,other cCREs,4192,0.005009541984732824
25-50,2451,promoter,2646,0.9263038548752834
25-50,78,proximal enhancer,2646,0.02947845804988662
25-50,56,distal enhancer,2646,0.021164021164021163
25-50,9,other cCREs,2646,0.003401360544217687
50+,3704,promoter,3870,0.9571059431524548
50+,71,proximal enhancer,3870,0.01834625322997416
50+,41,distal enhancer,3870,0.010594315245478035
50+,4,other cCREs,3870,0.0010335917312661498
